violationid,buildingid,boro,zip,inspectiondate,originalcorrectbydate,newcorrectbydate,novdescription,class,currentstatus,currentstatusdate,currentstatusdate 
10002094,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES CEILING  IN THE KITCHEN  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002096,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING COVER FOR THERMOSTAT  IN THE PRIVATE HALLWAY  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002097,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES ...  AT PUBLIC HALL, 3rd STORY",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002098,932438,QUEENS,11385.0,2013-10-09,2014-01-14,2014-03-15,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WALLS AND CEILING  AT PUBLIC HALL, 3rd STORY",A,VIOLATION CLOSED,2016-06-16,2016-06-16
10003633,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM SOUTH AT WEST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 1st ROOM  FROM EAST LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003634,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM NORTH AT EAST WALL,         1st DUMB WAITER  FROM EAST AT SOUTH WALL,         WEST WALL,         1st WINDOW FRAME  FROM SOUTH AT WEST WALL IN THE KITCHEN  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003635,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM SOUTH AT WEST WALL,         NORTH WALL,         EAST WALL IN THE PRIVATE HALLWAY  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003636,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st CLOSET  FROM NORTH AT EAST WALL DOOR,         1st CLOSET  FROM NORTH AT EAST WALL DOOR FRAME,         1st DOOR FRAME  FROM WEST AT NORTH WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL,         2nd WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 3rd ROOM  FROM EAST LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003637,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM NORTH AT EAST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL,         2nd WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 4th ROOM  FROM EAST LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003638,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM NORTH AT EAST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 5th ROOM  FROM EAST AT SOUTH LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003639,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           CEILING,         NORTH WALL,         SOUTH WALL,         EAST WALL,         WEST WALL IN THE FOYER  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003640,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM NORTH AT EAST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 2nd BATHROOM  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10003641,343610,BROOKLYN,11216.0,2013-10-10,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR  FROM NORTH AT EAST WALL,         1st DOOR FRAME  FROM NORTH AT EAST WALL,         EAST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE 1st BATHROOM  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10004358,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE: REPAIR THE ROOF SO THAT IT WILL NOT LEAK OVER CEILING  IN THE ENTIRE APARTMENT  LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004361,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR  IN THE BATHROOM  LOCATED AT APT 2FL, 2nd STORY",B,NOT COMPLIED WITH,2014-08-01,2014-08-01
10004362,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR CEILING  IN THE BATHROOM  LOCATED AT APT 2FL, 2nd STORY",B,NOT COMPLIED WITH,2014-08-01,2014-08-01
10004364,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  REPLACE WITH NEW THE MISSING CERAMIC TILES AROUND BATHTUB  IN THE BATHROOM  LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004367,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  REPLACE WITH NEW THE MISSING ELECTRIC OUTLET PLATE ON WEST WALL  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004377,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004378,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004379,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  PROPERLY REPAIR THE BROKEN OR DEFECTIVE CEILING LIGHT FIXTURE  IN THE BATHROOM  LOCATED AT APT 2FL, 2nd STORY",B,VIOLATION CLOSED,2014-08-01,2014-08-01
10004485,27552,MANHATTAN,10034.0,2013-10-09,2013-11-12,2013-11-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 2D, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",C,DEFECT LETTER ISSUED,2015-02-19,2015-02-19
10004940,4805,MANHATTAN,10036.0,2013-10-04,2013-11-12,2013-12-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          1st RISER  FROM WEST AT NORTH WALL,         WEST WALL IN THE 1st ROOM  FROM EAST LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",C,VIOLATION DISMISSED,2014-02-13,2014-02-13
10004941,4805,MANHATTAN,10036.0,2013-10-04,2013-11-12,2013-12-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          1st DOOR  FROM SOUTH AT WEST WALL,         1st DOOR FRAME  FROM SOUTH AT WEST WALL IN THE 2nd ROOM  FROM EAST LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2013-12-11,2013-12-11
10004942,4805,MANHATTAN,10036.0,2013-10-04,2013-11-12,2013-12-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          2nd CLOSET  FROM WEST AT NORTH WALL DOOR,         1st CLOSET  FROM WEST AT NORTH WALL DOOR,         SOUTH WALL IN THE PRIVATE HALLWAY  LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2013-12-19,2013-12-19
10004944,4805,MANHATTAN,10036.0,2013-10-04,2013-11-12,2013-12-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          1st CLOSET  FROM NORTH AT EAST WALL DOOR,         1st CLOSET  FROM NORTH AT EAST WALL DOOR FRAME,         1st RISER  FROM SOUTH AT WEST WALL,         SOUTH WALL IN THE KITCHEN  LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",C,DEFECT LETTER ISSUED,2014-09-09,2014-09-09
10004996,71641,BRONX,10466.0,2013-10-12,2013-11-12,2014-05-12,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           WEST WALL IN THE BATHROOM  LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2015-01-06,2015-01-06
10004997,71641,BRONX,10466.0,2013-10-12,2013-11-12,2014-05-12,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           NORTH WALL,         SOUTH WALL,         EAST WALL,         WEST WALL IN THE 2nd ROOM  FROM NORTH LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2015-01-06,2015-01-06
10004998,71641,BRONX,10466.0,2013-10-12,2013-11-12,2014-05-12,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           SOUTH WALL,         EAST WALL IN THE 1st ROOM  FROM NORTH LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2015-01-06,2015-01-06
10004999,71641,BRONX,10466.0,2013-10-12,2013-11-12,2014-05-12,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           NORTH WALL,         SOUTH WALL,         EAST WALL,         WEST WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL,         2nd WINDOW FRAME  FROM EAST AT SOUTH WALL IN THE KITCHEN  LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2015-01-06,2015-01-06
10005881,676390,QUEENS,11413.0,2013-10-11,2013-11-27,2013-12-27,"SECTION 27-2005 ADMIN. CODE:  PROPERLY REPAIR THE BROKEN OR DEFECTIVE WINDOW FRAME (TOTAL9 WINDOWS)  IN THE ENTIRE APARTMENT  LOCATED AT APT 2FL, 2nd STORY",B,NOT COMPLIED WITH,2014-08-01,2014-08-01
10006747,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st CLOSET  FROM EAST AT SOUTH WALL DOOR,         1st CLOSET  FROM EAST AT SOUTH WALL DOOR FRAME,         1st DOOR  FROM EAST AT SOUTH WALL,         1st DOOR FRAME  FROM EAST AT SOUTH WALL,         SOUTH WALL IN THE FOYER  LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006749,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM WEST AT NORTH WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL,         1st WINDOW FRAME  FROM NORTH AT EAST WALL IN THE 1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006750,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           BASEBOARD AT SOUTH WALL,         1st DOOR FRAME  FROM EAST AT SOUTH WALL,         1st DOOR FRAME  FROM SOUTH AT WEST WALL,         NORTH WALL,         1st WINDOW FRAME  FROM WEST AT NORTH WALL IN THE 2nd ROOM  FROM EAST AT NORTH LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006751,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           BASEBOARD AT EAST WALL,         1st CLOSET  FROM SOUTH AT WEST WALL DOOR,         1st CLOSET  FROM SOUTH AT WEST WALL DOOR FRAME,         1st DOOR FRAME  FROM NORTH AT EAST WALL IN THE PRIVATE HALLWAY  LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006752,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st CLOSET  FROM NORTH AT EAST WALL DOOR,         1st CLOSET  FROM NORTH AT EAST WALL WALL,         SOUTH WALL,         WEST WALL IN THE KITCHEN  LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006753,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR  FROM EAST AT SOUTH WALL,         1st DOOR  FROM NORTH AT EAST WALL IN THE 3rd PRIVATE HALLWAY  FROM EAST LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006754,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           NORTH WALL IN THE 3rd ROOM  FROM EAST LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006755,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           EAST WALL,         WEST WALL IN THE 3rd BATHROOM  FROM EAST LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10006756,44152,MANHATTAN,10025.0,2013-10-13,2013-11-14,2013-11-28,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR  FROM SOUTH AT WEST WALL,         1st DOOR FRAME  FROM SOUTH AT WEST WALL IN THE 1st BATHROOM  FROM EAST AT CENTER LOCATED AT APT 94, 9th STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-06-18,2015-06-18
10008706,81720,BRONX,10457.0,2013-10-09,2013-11-15,2013-11-29,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          CEILING IN THE 2nd PRIVATE HALLWAY  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2017-08-03,2017-08-03
10008707,81720,BRONX,10457.0,2013-10-09,2013-11-15,2013-11-29,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          SOUTH WALL IN THE KITCHEN  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",C,VIOLATION CLOSED,2017-08-03,2017-08-03
